domain,url,html_file
doubleclick.net,https://doubleclick.net,data/raw/legit/doubleclick.net_49a29f94.html
doubleclick.net,https://www.doubleclick.net/robots.txt,data/raw/legit/www.doubleclick.net_91f6339a.html
doubleclick.net,http://ad.doubleclick.net/robots.txt,data/raw/legit/ad.doubleclick.net_2c51fa6d.html
strikingly.com,http://www.strikingly.com,data/raw/legit/www.strikingly.com_6ae6aa02.html
strikingly.com,https://www.strikingly.com/?ref=logo&permalink=rushstar&custom_domain=&utm_campaign=footer_pbs&utm_content=https%3A%2F%2Frushstar.mystrikingly.com%2F&utm_medium=user_page&utm_source=10304920&utm_term=i18n_pbs_false&_pbs_i18n_ab_test=b,data/raw/legit/www.strikingly.com_a69a6c2e.html
strikingly.com,https://www.strikingly.com/?utm_medium=adwords&utm_source=ad_search&utm_campaign=220860857&kw=strickingly&ad=63817781657&loc=1003659&gclid=EAIaIQobChMIpabm8eut1gIVgV6GCh0LxAPsEAAYASAAEgJ-B_D_BwE,data/raw/legit/www.strikingly.com_a61ac83f.html
vkplay.ru,https://vkplay.ru/,data/raw/legit/vkplay.ru_cb440232.html
vkplay.ru,https://vkplay.ru/?ref=4725795,data/raw/legit/vkplay.ru_fe5ddb8d.html
vkplay.ru,https://vkplay.ru/app/5349,data/raw/legit/vkplay.ru_ddfd7d55.html
venturebeat.com,https://venturebeat.com/robots.txt,data/raw/legit/venturebeat.com_211dc221.html
venturebeat.com,https://datasummit.venturebeat.com/,data/raw/legit/datasummit.venturebeat.com_45355e5a.html
venturebeat.com,https://datasummit.venturebeat.com/?utm_source=vb&utm_medium=boiler&utm_content=Registration&utm_campaign=BoilerPlates,data/raw/legit/datasummit.venturebeat.com_a753668a.html
lepoint.fr,https://www.lepoint.fr/robots.txt,data/raw/legit/www.lepoint.fr_0ad4ee71.html
lepoint.fr,https://abo.lepoint.fr/,data/raw/legit/abo.lepoint.fr_515e568f.html
lepoint.fr,https://abo.lepoint.fr/?provenance=01DIS010077,data/raw/legit/abo.lepoint.fr_150be1b4.html
box.com,http://www.box.com,data/raw/legit/www.box.com_090911cd.html
box.com,https://www.box.com:443/,data/raw/legit/www.box.com_443_b64c739e.html
box.com,https://www.box.com/?7view=list&sort=name&direction=ASC&theme=blue,data/raw/legit/www.box.com_153e2504.html
kmv.ru,https://kmv.ru/,data/raw/legit/kmv.ru_37de09d4.html
kmv.ru,https://www.kmv.ru/card.html,data/raw/legit/www.kmv.ru_eec0f362.html
kmv.ru,https://kmv.ru/contact.html,data/raw/legit/kmv.ru_3d5b0d1a.html
mosyle.com,https://mosyle.com/?contact=open&market=business&utm_campaign=Sponsorship+Objective-See&utm_medium=sponsorship&utm_source=Objective-See,data/raw/legit/mosyle.com_a7a485e8.html
mosyle.com,https://mosyle.com/news-room/,data/raw/legit/mosyle.com_646ae6e1.html
mosyle.com,https://mosyle.com/news-room/?utm_campaign=Sponsorship+Objective-See&utm_medium=sponsorship&utm_source=Objective-See,data/raw/legit/mosyle.com_e0aed503.html
engadget.com,https://www.engadget.com/,data/raw/legit/www.engadget.com_549a7a85.html
engadget.com,https://www.engadget.com/1010-music-lemondrop-and-fireball-nanobox-synthesizer-review-130035502-130035892.html,data/raw/legit/www.engadget.com_d77052ef.html
engadget.com,https://www.engadget.com/1010-music-lemondrop-and-fireball-nanobox-synthesizer-review-130035502.html,data/raw/legit/www.engadget.com_8e17f5ca.html
